CustomerID,Customer Category,Affiliation Date,Conversion Date
241607,Regular,12/7/2017,12/8/2017
241545,Regular,12/7/2017,2/22/2018
243057,Regular,12/7/2017,1/25/2018
243238,Regular,12/8/2017,1/24/2018
186344,Key,12/8/2017,12/9/2017
239661,Regular,12/8/2017,12/29/2017
182210,Regular,12/8/2017,12/9/2017
182254,Regular,12/8/2017,12/21/2017
186515,Regular,12/8/2017,12/9/2017
182032,Regular,12/9/2017,12/9/2017
239517,Regular,12/11/2017,7/24/2018
182877,Key,12/11/2017,12/11/2017
239099,Regular,12/11/2017,12/12/2017
105414,Key,12/12/2017,1/2/2019
242816,Regular,12/13/2017,12/14/2017
238368,Key,12/13/2017,1/18/2018
238862,Regular,12/13/2017,12/28/2017
242073,Regular,12/13/2017,9/15/2018
240030,Regular,12/14/2017,12/15/2017
240820,Regular,12/18/2017,12/21/2017
241739,Regular,12/18/2017,1/26/2018
244156,Regular,12/18/2017,12/19/2017
244588,Regular,12/18/2017,12/19/2017
239564,Regular,12/18/2017,12/19/2017
227272,Regular,12/18/2017,12/21/2017
180249,Regular,12/19/2017,12/29/2017
241178,Regular,12/19/2017,12/30/2017
241941,Regular,12/19/2017,11/17/2018
239506,Regular,12/20/2017,12/27/2017
254967,Regular,12/20/2017,3/17/2018
244467,Regular,12/21/2017,12/29/2017
242365,Regular,12/22/2017,12/24/2017
243030,Regular,12/24/2017,12/24/2017
186680,Regular,12/26/2017,1/12/2018
228224,Regular,12/26/2017,12/31/2017
238751,Regular,12/26/2017,1/31/2018
244425,Key,12/27/2017,12/28/2017
244480,Regular,12/28/2017,2/22/2018
255021,Regular,12/28/2017,12/29/2017
244016,Regular,1/2/2018,1/10/2018
243948,Regular,1/3/2018,1/5/2018
181273,Regular,1/4/2018,2/16/2018
243920,Regular,1/4/2018,1/19/2018
185985,Regular,1/5/2018,1/27/2018
239525,Regular,1/5/2018,2/10/2018
187317,Regular,1/9/2018,1/18/2018
182162,Regular,1/10/2018,1/11/2018
184616,Regular,1/11/2018,10/19/2018
241661,Regular,1/12/2018,1/19/2018
241742,Regular,1/12/2018,1/13/2018
186988,Regular,1/12/2018,1/26/2018
228406,Regular,1/15/2018,1/26/2018
238845,Regular,1/16/2018,1/17/2018
243173,Regular,1/17/2018,8/29/2018
180130,Regular,1/17/2018,1/24/2018
183234,Regular,1/19/2018,1/20/2018
240782,Regular,1/22/2018,1/22/2018
178899,Regular,1/22/2018,1/26/2018
185744,Regular,1/22/2018,1/23/2018
238034,Regular,1/22/2018,1/23/2018
238784,Regular,1/23/2018,1/24/2018
185845,Regular,1/25/2018,10/18/2018
241856,Key,1/25/2018,1/29/2018
242064,Regular,1/25/2018,1/26/2018
244212,Regular,1/26/2018,2/3/2018
186714,Key,1/29/2018,2/3/2018
243570,Regular,2/2/2018,2/3/2018
186868,Key,2/6/2018,2/8/2018
227455,Key,2/7/2018,2/9/2018
234742,Regular,2/7/2018,3/13/2018
180469,Regular,2/9/2018,2/14/2018
243790,Regular,2/12/2018,2/15/2018
187308,Regular,2/13/2018,2/21/2018
180208,Key,2/14/2018,2/16/2018
185565,Regular,2/14/2018,2/15/2018
182618,Regular,2/14/2018,2/20/2018
186173,Regular,2/19/2018,2/27/2018
242890,Regular,2/22/2018,3/2/2018
183674,Key,2/22/2018,3/3/2018
105671,Key,2/26/2018,2/27/2018
238196,Regular,2/26/2018,3/9/2018
241037,Regular,2/27/2018,2/28/2018
244532,Regular,3/1/2018,3/2/2018
185797,Regular,3/5/2018,5/15/2018
180355,Regular,3/5/2018,3/9/2018
254746,Regular,3/6/2018,3/14/2018
181489,Regular,3/6/2018,3/7/2018
187116,Regular,3/6/2018,3/21/2018
188521,Regular,3/7/2018,4/19/2018
227580,Regular,3/7/2018,3/14/2018
243012,Regular,3/9/2018,3/10/2018
239198,Regular,3/15/2018,3/15/2018
185331,Regular,3/16/2018,3/16/2018
243405,Key,3/20/2018,3/25/2018
185403,Key,3/20/2018,3/21/2018
186136,Regular,3/21/2018,9/22/2018
185811,Regular,3/22/2018,3/26/2018
267033,Key,3/22/2018,3/26/2018
269597,Regular,3/22/2018,4/16/2018
182575,Regular,3/23/2018,3/23/2018
238720,Regular,3/23/2018,4/21/2018
186653,Regular,3/23/2018,4/12/2018
242046,Regular,3/23/2018,4/6/2018
105164,Regular,4/5/2018,4/13/2018
181722,Regular,4/6/2018,4/7/2018
244086,Regular,4/6/2018,4/11/2018
99969,Regular,4/9/2018,5/12/2018
186613,Regular,4/10/2018,4/21/2018
187794,Regular,4/11/2018,4/11/2018
242180,Regular,4/13/2018,4/17/2018
243720,Regular,4/13/2018,6/14/2018
278281,Regular,4/17/2018,8/25/2018
278198,Regular,4/17/2018,7/19/2018
279415,Key,4/17/2018,12/31/2018
278122,Regular,4/18/2018,4/18/2018
278865,Regular,4/18/2018,4/19/2018
279173,Key,4/18/2018,4/18/2018
278144,Regular,4/18/2018,4/26/2018
278219,Regular,4/18/2018,6/13/2018
278875,Regular,4/18/2018,5/3/2018
281038,Regular,4/18/2018,4/19/2018
277434,Regular,4/18/2018,4/19/2018
279740,Regular,4/19/2018,4/19/2018
277601,Key,4/19/2018,4/19/2018
279196,Key,4/19/2018,5/19/2018
277443,Regular,4/19/2018,6/8/2018
277319,Regular,4/20/2018,4/21/2018
281259,Regular,4/20/2018,4/21/2018
281194,Regular,4/20/2018,4/21/2018
279186,Key,4/20/2018,4/20/2018
182404,Regular,4/20/2018,4/21/2018
277616,Key,4/21/2018,4/21/2018
278660,Regular,4/21/2018,9/15/2018
185391,Regular,4/21/2018,5/16/2018
228170,Regular,4/23/2018,5/2/2018
181181,Regular,4/24/2018,5/21/2018
281649,Regular,4/24/2018,5/2/2018
181335,Regular,4/24/2018,6/20/2018
242284,Regular,4/25/2018,4/30/2018
278556,Regular,4/25/2018,4/26/2018
278637,Key,4/25/2018,4/26/2018
279687,Regular,4/26/2018,4/26/2018
104256,Regular,4/26/2018,4/28/2018
242458,Regular,4/26/2018,5/10/2018
178937,Regular,4/26/2018,7/27/2018
238471,Regular,4/27/2018,5/2/2018
280871,Regular,4/27/2018,9/4/2018
228472,Regular,4/27/2018,10/19/2018
286828,Regular,4/27/2018,5/5/2018
244206,Regular,4/27/2018,4/28/2018
277510,Regular,4/27/2018,4/28/2018
242344,Regular,4/30/2018,5/8/2018
242174,Regular,5/3/2018,5/4/2018
277773,Regular,5/3/2018,5/4/2018
278900,Regular,5/4/2018,5/12/2018
279416,Regular,5/4/2018,5/11/2018
238817,Regular,5/4/2018,5/11/2018
186358,Regular,5/4/2018,5/14/2018
278185,Regular,5/4/2018,7/3/2019
180970,Regular,5/4/2018,5/30/2018
277295,Regular,5/5/2018,5/14/2018
277904,Regular,5/7/2018,9/1/2018
238690,Regular,5/7/2018,11/7/2018
278741,Regular,5/7/2018,5/8/2018
244079,Regular,5/7/2018,5/7/2018
186629,Regular,5/8/2018,7/26/2019
105083,Regular,5/9/2018,5/18/2018
289373,Regular,5/9/2018,5/9/2018
244015,Regular,5/10/2018,8/24/2018
277557,Regular,5/11/2018,10/25/2018
290413,Key,5/12/2018,5/12/2018
278537,Regular,5/12/2018,7/2/2018
